"flight","date","growth_stage","subplot","N_rate_kg_ha","index","canopy_polygon_count","canopy_area_m2","n_pixels","n_duplicate_cells_removed","coverage_pct","mean","median","sd","p05","p25","p75","p95","p99","min","max","n_below_minus1","n_above_1","pct_outside_minus1_1"
2,"2024-09-14","R5","P3",200,"WDRVI",36,1.53622605766967,12531,0,99.2527163389661,0.377933952606892,0.383632481098175,0.0325509008541893,0.313911810517311,0.362067088484764,0.400059580802917,0.420491889119148,0.436036759614944,0.224926188588142,0.476682752370834,0,0,0
2,"2024-09-14","R5","P4",300,"NDVI",36,1.679304260229,13936,0,100.976554255539,0.853092128507169,0.854510545730591,0.00958181248568112,0.835154131054878,0.848133996129036,0.859731018543243,0.865984886884689,0.870084583759308,0.805465042591095,0.875758528709412,0,0,0
2,"2024-09-14","R5","P4",300,"MSAVI",36,1.679304260229,13936,0,100.976554255539,0.422568673272505,0.431329667568207,0.0918025531315952,0.25491701811552,0.368711851537228,0.487236186861992,0.555431962013245,0.601782205700874,0.0452719442546368,0.673540711402893,0,0,0
2,"2024-09-14","R5","P4",300,"WDRVI",36,1.679304260229,13936,0,100.976554255539,0.384210158007949,0.388175830245018,0.0295747084425891,0.329217672348022,0.368322275578976,0.40475856512785,0.425025828182697,0.438556246459484,0.245853617787361,0.457610696554184,0,0,0
2,"2024-09-14","R5","P5",400,"NDVI",36,2.30322003345405,18940,0,100.059042815308,0.852645928580255,0.854993253946304,0.0114345977044951,0.829436910152435,0.847763702273369,0.860226422548294,0.866809606552124,0.871001110076904,0.794679701328278,0.881010115146637,0,0,0
2,"2024-09-14","R5","P5",400,"MSAVI",36,2.30322003345405,18940,0,100.059042815308,0.422200676868055,0.439431235194206,0.108347883066996,0.215244747698307,0.362491145730019,0.497451551258564,0.570758652687073,0.617261040210724,-0.0306019987910986,0.7496178150177,0,0,0
2,"2024-09-14","R5","P5",400,"WDRVI",36,2.30322003345405,18940,0,100.059042815308,0.383012833421875,0.38969649374485,0.0349271175644363,0.312526749074459,0.367182657122612,0.406347833573818,0.427731901407242,0.441608001589775,0.217489525675774,0.475595742464066,0,0,0
3,"2024-10-02","R6","P1",0,"NDVI",41,8.55696573766727,97838,370,99.6262004006412,0.930232293882048,0.932334333658218,0.0427299546241869,0.856128659844398,0.900643229484558,0.964218512177467,0.994327619671822,0.999571078419685,0.737489461898804,1,0,0,0
3,"2024-10-02","R6","P1",0,"MSAVI",41,8.55696573766727,97838,370,99.6262004006412,0.711235813221876,0.708872556686401,0.0655077222517214,0.607829302549362,0.665590450167656,0.754763379693031,0.822883474826813,0.8693696808815,0.455849438905716,1.00182402133942,0,2,0.00204419550685828
3,"2024-10-02","R6","P1",0,"WDRVI",41,8.55696573766727,97838,370,99.6262004006412,0.677338596683257,0.67122358083725,0.1763210000763,0.393283601105213,0.545975342392921,0.814321026206017,0.968544700741768,0.997592729926109,0.0817837044596672,1,0,0,0
